taxonID,number,distribution,conservation_status
5a06e57e67d9,001.1004,"Colombia (Cauca, Nari&ntilde;o)",NA
ce4315e2d22f,001.1004,"Bolivia (Cochabamba, La Paz)",NA
e761c47d64e1,001.1004,Ecuador,NA
4a9df2d8de9b,001.1004,"Costa Rica; Colombia (Antioquia, Boyac&aacute;, Cauca, Cundinamarca, Nari&ntilde;o, Putumayo); Ecuador; Peru; Bolivia (La Paz, Santa Cruz); Venezuela (Aragua, Sucre, Zulia); Paraguay (Amambay)",NA
02b794f0a3e7,001.1004,Venezuela; Dominican Republic; Jamaica; Cuba; Guyana,NA
e1706bb92c87,001.1004,Borneo; Lesser Sunda Isl. (Sumbawa),NA
798ea8aef3ec,001.1004,Bolivia (La Paz); Ecuador,NA
3cf6feeb3094,001.1004,"Costa Rica; E-Colombia (Antioquia, Cauca, Huila, Meta, Nari&ntilde;o, Valle); Venezuela (Amazonas, Bol&iacute;var, Trujillo); Ecuador; Brazil (Amazonas, Roraima); Peru; Panama",NA
6e9cefdd0fde,001.1004,"Panama; Colombia (Choc&oacute;, Valle); Venezuela (Amazonas, Bol&iacute;var); Ecuador; Brazil (Amazonas, Roraima)",NA
996c17e3f01c,001.1004,"New Guinea (Papua New Guinea, Irian Jaya, Japen Isl., Waigeu Isl.)",NA
b6f4663c230f,001.1004,Martinique,NA
c06b6d4c4880,001.1004,"Colombia (Antioquia, Cauca, Choc&oacute;, Nari&ntilde;o, Santander, Valle); Ecuador",NA
09c24190392c,001.1004,Madeira (Madeira Isl.),NA
d19427592c61,001.1005,NA,NA
aa07e3a78d14,001.1005,"New Zealand (North Isl.); New Caledonia; Australia (SW-Western Australia, SE-South Australia, E-Queensland, S-Victoria, Tasmania, NE-New South Wales); New Guinea (Papua New Guinea)",NA
6d80446427e0,001.2000,NA,NA
310e5bbe1496,001.2001,NA,NA
c2363b289a69,001.2001,"China (Chongqing, Fujian, Guangdong, Guangxi, Guizhou, Hubei, Hunan, Jiangxi, Sichuan, Yunnan, Zhejiang); Taiwan; Tibet; Japan; peninsular Malaysia (Kedah, Terengganu, Perak, Pahang, Melaka, Johor); Borneo (Sabah, Mt. Kinabalu); India (Assam State, Arunachal Pradesh, Meghalaya); Bhutan; Myanmar; Philippines; Sumatra; Thailand; Sulawesi; Vietnam; New Guinea (Irian Jaya, Papua New Guinea)",NA
134040798af2,001.3000,NA,NA
57a389e3d05b,001.3001,NA,NA
69103121103a,001.3001,"Argentina (Santa Cruz); Chile (Biob&iacute;o, Araucan&iacute;a, Los Rios, Los Lagos, Ais&eacute;n); Juan Fdz. Isl.",NA
f2f9ac84591a,001.3001,"Costa Rica; Colombia (Antioquia, Bolivar, Boyaca, Caqueta, Cauca, Choco, Cundinamarca, Huila, Magdalena, Meta, Narino, Norte de Santander, Putumayo, Santander, Valle); Venezuela (Amazonas, Bol&iacute;var, Lara, Merida, Sucre, Tachira, Trujillo, Zulia); Ecuador; Peru; Bolivia (Cochabamba, La Paz, Santa Cruz); Brazil (Minas Gerais, Par&aacute;, Piau&iacute;, Paran&aacute;, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, S&atilde;o Paulo); Jamaica; Hispaniola (Dominican Republic)",NA
21c0c9a1e036,001.3001,Ecuador,NA
aa089f1b1cf2,001.3001,"New Zealand (North Isl., South Isl., Stewart Isl.); Chatham Isl.; Antipodes Isl.; Auckland Isl.; Campbell Isl.; Australia (Victoria, Tasmania); Borneo (Mt. Kinabalu, etc.); Philippines; Sulawesi; New Guinea (Irian Jaya, Papua New Guinea)",NA
c711f06c5b76,001.3002,NA,NA
8402ddbe7f41,001.3002,"Alaska; USA (Alabama, Connecticut, Iowa, Idaho, Illinois, Indiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Missouri, Montana, North Carolina, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, South Dakota, Tennessee, Virginia, Vermont, Washington State, Wisconsin, West Virginia, Wyoming); Canada (Alberta, British Columbia, Labrador, Manitoba, New Brunswick, Newfoundland, Nova Scotia, Northern Territories, Ontario, Prince Edward Isl., Qu&eacute;bec, Saskatchewan, Yukon); St. Pierre et Miquelon; Japan; Siberia; Russian Far East; North Korea; South Korea; NE-China",NA
db433f6a5e5b,001.3002,"USA (Connecticut, Delaware, Indiana, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, North Carolina, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, Tennessee, Virginia, Vermont, Washington State, Wisconsin, West Virginia); Canada (New Brunswick, Nova Scotia, Ontario, Prince Edward Isl., Qu&eacute;bec, Saskatchewan)",NA
7241d7c980b3,001.3002,Siberia (C-Siberia); Russian Far East (incl. Kuril Isl.); Japan; Taiwan,NA
4677d1f44461,001.3002,"Alaska; USA (Alabama, Connecticut, District of Columbia, Delaware, Georgia, Illinois, Indiana, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, North Carolina, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, South Carolina, Tennessee, Virginia, Vermont, Wisconsin, West Virginia); Canada (New Brunswick, Nova Scotia, Ontario, Qu&eacute;bec)",NA
07b1db3aa60b,001.3002,"China (Anhui, Chongqing, Guizhou, Hubei, Hunan, Jiangxi, Shaanxi, Shanxi, Sichuan, NE-Yunnan, Zhejiang); E-Tibet; ?Taiwan; Bhutan; NE-India (Arunachal Pradesh)",NA
9cc654d9c698,001.3003,NA,NA
fb0666b4a8b7,001.3003,Angola; D.R.Congo [Zaire]; Ethiopia; Sudan; Kenya; Zambia; Zimbabwe; Malawi; Mozambique; S&atilde;o Tom&eacute;, IUCN I (Kenya)
fd92ecd2a95a,001.3003,"Argentina (Chubut, Neuquen, Rio Negro, Santa Cruz, Tierra del Fuego); Chile (Los Rios, Los Lagos, Ais&eacute;n, Magallanes); Falkland Isl.",NA
c6d048c620b3,001.3003,"Argentina (Chubut, Neuquen, Rio Negro, Santa Cruz, Tierra del Fuego); Chile (Los Rios, Los Lagos, Ais&eacute;n, Magallanes); Falkland Isl.",NA
9a51d47a4361,001.3003,"Brazil (Esp&iacute;rito Santo, Minas Gerais, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, S&atilde;o Paulo); Argentina (Jujuy, Neuquen, Rio Negro); Chile (Araucan&iacute;a, Los Rios, Los Lagos, Magallanes); Bolivia (Santa Cruz)",NA
fa0f33cb33a3,001.3003,"Australia (E-Victoria, Tasmania, SE-New South Wales); New Zealand (North Isl., South Isl., Stewart Isl.); Chatham Isl.; Antipodes Isl.; Auckland Isl.; Campbell Isl.",NA
974cb2e5dd57,001.3003,"Colombia (Amazonas, Antioquia, Boyac&aacute;, Caldas, Cauca, Cundinamarca, Huila, Magdalena, Meta, Nari&ntilde;o, Risaralda, Tolima, Valle); Costa Rica; Venezuela (Merida); Ecuador; Peru; Bolivia (Cochabamba, La Paz); Hispaniola (Dominican Republic); Tristan da Cunha; Gough Isl.; South Georgia Isl.; Falkland Isl.; Marion Isl.; Prince Edward Isl.; Iles Crozet; Iles Kergu&eacute;len; Argentina (Chubut, Jujuy, Rio Negro, Santa Cruz, Tierra del Fuego); Chile (Biob&iacute;o, Araucan&iacute;a, Los Rios, Los Lagos, Ais&eacute;n, Magallanes); Juan Fdz. Isl.",NA
1e799b3e889a,001.3003,"Argentina (Chubut, Neuquen, Rio Negro); Chile (Biob&iacute;o, Araucan&iacute;a, Los Rios, Los Lagos, Ais&eacute;n)",NA
ca90211b0224,001.3004,NA,NA
7c508858c3bb,001.3004,"New Zealand (North Isl., South Isl., Stewart Isl., Three Kings Isl.); Kermadec Isl.; Chatham Isl.; New Caledonia; Society Isl. (Tahiti); Vanuatu; peninsular Malaysia (Pahang); Borneo (Sabah, Mt. Kinabalu); Moluccas (Seram); New Guinea (Irian Jaya, Papua New Guinea); Sulawesi; Lesser Sunda Isl. (Lombok); Java; Philippines; Ecuador [I]; Australia (NE-Queensland); Solomon Isl. (Guadalcanal, Kolombangara)",NA
3706223f718f,001.3005,NA,NA
2218bc265f1a,001.3005,"Australia (South Australia, E-Queensland, New South Wales, E-Victoria, Tasmania); New Zealand (North Isl.); New Caledonia",NA
045bf73a3f2a,001.3006,NA,NA
5f8ca3c82907,001.3006,"Austria; Belgium; Luxembourg; England; Wales; Scotland; Ireland; Bulgaria; Czech Republic; Slovakia; Denmark; Finland; France; Germany (Brandenburg, Berlin, Baden-W&uuml;rttemberg, Bayern, Hessen, Hamburg, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Schleswig-Holstein, Saarland, Sachsen, Sachsen-Anhalt, Th&uuml;ringen); Switzerland; Liechtenstein; Netherlands; Spain; Andorra; Hungary; Iceland; Italy; Bosnia &amp; Hercegovina; Montenegro; Croatia; Macedonia; Slovenia; Serbia; Kosovo; Portugal; Norway; Poland; Romania; Sweden; N-European Russia; C-European Russia; W-European Russia; E-European Russia; Estonia; Latvia; Lithuania; Belarus; Ukraine; Kazakhstan; Northern Caucasus; Georgia [Caucasus]; Siberia (W-Siberia, C-Siberia); Russian Far East; Mongolia; China (Heilongjiang, Jilin, Liaoning, Nei Mongol); Japan; North Korea; South Korea (incl. Cheju Isl.); Turkey (Anatolia); Guinea; Sierra Leone; Ivory Coast; Nigeria; Cameroon; ?Gabon; Bioko Isl. [Fernando Poo]; S&atilde;o Tom&eacute;; Equatorial Guinea (Rio Muni); D.R.Congo [Zaire]; Congo [Brazzaville]; Sudan; Ethiopia; Uganda; Rwanda; Burundi; Kenya; Tanzania; Angola; Zambia; Malawi; Mozambique; E-Zimbabwe; South Africa (Limpopo, Mpulamanga, KwaZulu-Natal, E-Cape Prov., W-Cape Prov., E-Free State); Lesotho; Eswatini [Swaziland]; Comores (Grande Comore); Madagascar; Mauritius; La R&eacute;union; Alaska; USA (California, Connecticut, District of Columbia, Delaware, Georgia, Iowa, Idaho, Illinois, Indiana, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, Montana, North Carolina, New Hampshire, New Jersey, New Mexico, New York, Ohio, Oregon, Pennsylvania, Rhode Island, South Carolina, Tennessee, Virginia, Vermont, Washington State, Wisconsin, West Virginia); Canada (British Columbia, Manitoba, New Brunswick, Newfoundland, Nova Scotia, Ontario, Prince Edward Isl., Qu&eacute;bec, Saskatchewan); St. Pierre et Miquelon",NA
1c76b323b2f2,001.3006,"Costa Rica; Panama; Colombia (Antioquia, Boyac&aacute;, Caldas, Casanare, Cauca, Cesar, Cundinamarca, Huila, La Guajira, Magdalena, Nari&ntilde;o, Norte de Santander, Risaralda, Santander, Tolima, Valle); Venezuela (Bol&iacute;var, Venezuela Distrito Federal, Merida, Tachira, Trujillo); Ecuador; Peru; Guyana; Bolivia (Chuquisaca, Cochabamba, La Paz, Santa Cruz)",NA
485ef8dc1bd8,001.3006,"Costa Rica; Puerto Rico; Cuba; Hispaniola; Jamaica; Galapagos; Nicaragua; Mexico (Chiapas, Colima, Guerrero, Hidalgo, Jalisco, Mexico State, Michoacan, Oaxaca, Puebla, Queretaro, San Luis Potosi, Veracruz); Guatemala; Honduras; El Salvador; Panama; Colombia; Venezuela (Amazonas, Anzoategui, Aragua, Barinas, Bol&iacute;var, Venezuela Distrito Federal, Falcon, Lara, Merida, Miranda, Monagas, Portuguesa, Sucre, Tachira, Trujillo); Ecuador; Peru; Brazil (Bahia, Esp&iacute;rito Santo, Goi&aacute;s, Minas Gerais, Paran&aacute;, Rio de Janeiro, Roraima, Rio Grande do Sul, Santa Catarina, S&atilde;o Paulo); St. Kitts; Guadeloupe; Martinique; Argentina (Cordoba, Jujuy, Misiones, Salta); Paraguay (Caaguazu); Uruguay (Durazno, Maldonado)",NA
